round_id,nof_cluster_discard,nof_point_discard,nof_cluster_compression,nof_point_compression,nof_point_retained
1,10,2132,22,19178,8
2,10,23444,22,19178,14
3,10,44751,22,19178,25
4,10,66057,17,19192,23
5,10,87366,19,19196,28
6,10,108670,31,19220,18
7,10,129980,31,19220,26
8,10,151285,11,19234,25
9,10,172595,11,19242,25
10,10,213085,1,74,25
