round_id,nof_cluster_discard,nof_point_discard,nof_cluster_compression,nof_point_compression,nof_point_retained
1,8,3465,20,31174,4
2,8,38101,20,31174,11
3,8,72739,20,31174,16
4,8,107375,20,31174,23
5,8,142016,9,31176,23
6,8,207832,4,9,21
