round_id,nof_cluster_discard,nof_point_discard,nof_cluster_compression,nof_point_compression,nof_point_retained
1,15,3385,40,30459,5
2,15,37229,40,30459,10
3,15,71076,40,30459,12
4,15,104924,40,30459,13
5,15,138772,40,30459,14
6,15,172620,40,30459,15
7,15,206465,40,30459,19
8,15,270779,0,0,20
